trial,ARI_dagger_values,eps,min_samples
0,0.034285714285714274,0.8049101414454196,3
1,0.034285714285714274,0.8348456080721137,7
2,0.034285714285714274,0.9430650600369401,3
3,0.034285714285714274,0.3967175725663146,3
4,0.034285714285714274,0.2712101076551949,7
5,0.034285714285714274,0.1922734278856977,6
6,0.034285714285714274,0.33039884009229126,4
7,0.033873015873015874,0.07979856663308531,7
8,0.034285714285714274,0.6764309359162137,6
9,0.034285714285714274,0.5747109683963854,3
10,0.034285714285714274,0.7542216380718485,10
11,0.034285714285714274,0.9611582035615596,9
12,0.034285714285714274,0.827284037983425,5
13,0.034285714285714274,0.5828762828412278,8
14,0.034285714285714274,0.8283572433313979,8
15,0.034285714285714274,0.4709245835642271,5
16,0.034285714285714274,0.9998700612510643,5
17,0.034285714285714274,0.7186976966108771,8
18,0.034285714285714274,0.8482064355599482,4
19,0.034285714285714274,0.6188376645309199,10
20,0.034285714285714274,0.8821033652871154,6
21,0.034285714285714274,0.9283144113926369,4
22,0.034285714285714274,0.8024419089210698,3
23,0.034285714285714274,0.9129722465387533,4
24,0.034285714285714274,0.6921233084830907,3
25,0.034285714285714274,0.9978465920751535,7
26,0.034285714285714274,0.77115823216402,5
27,0.034285714285714274,0.5047845486609868,9
28,0.034285714285714274,0.8911983396956352,4
29,0.034285714285714274,0.43174578451102325,3
30,0.034285714285714274,0.6910354694795331,3
31,0.034285714285714274,0.40346722692671877,3
32,0.034285714285714274,0.2896811384746224,6
33,0.034285714285714274,0.3668557321810681,4
34,0.034285714285714274,0.2545782171500911,7
35,0.034285714285714274,0.11852106994087563,4
36,0.034285714285714274,0.6213187237768667,3
37,0.034285714285714274,0.2087655594870203,5
38,0.034285714285714274,0.5351856074021162,3
39,0.034285714285714274,0.7544749022771299,7
40,0.034285714285714274,0.9466662916325659,6
41,0.034285714285714274,0.14838765763858686,8
42,0.034285714285714274,0.31088550297032574,7
43,0.034285714285714274,0.3653852875309172,6
44,0.034285714285714274,0.25928546958469495,9
45,0.20136483777660252,0.06132504911205999,8
46,0.034285714285714274,0.6430420042164949,8
47,0.6478545343545343,0.03248556315438131,9
48,0.5726651126651129,0.018220079961597004,9
0,0.03321428571428571,0.08682448208717942,5
1,0.3108801067748274,0.014633896464666257,4
2,0.12283211181737899,0.05269585490847529,5
3,0.033571428571428565,0.0951694546209539,3
4,0.023325396825396822,0.07079775146499381,3
5,0.06138334378040261,0.06169276233441723,5
6,0.20894843260641477,0.043846430016250444,5
7,0.033571428571428565,0.09157972068012908,4
8,0.07416442415095353,0.04841845218369708,3
9,0.46148329448329434,0.02850440838605709,5
10,0.3845081094658023,0.020863427488279893,4
11,0.3678380622495916,0.01964969379007641,4
12,0.26638127256742455,0.030726675640194205,4
13,0.19583765276059042,0.035548093556758247,4
14,0.47560343629538665,0.026689779963588314,5
15,0.4092995687662869,0.03181102611563058,5
16,0.4211826634090397,0.012466153201823886,5
17,0.4775350746604616,0.0264677841663994,5
18,0.24237532235640993,0.04089616961673949,5
19,0.028095238095238097,0.07580056980928054,5
20,0.07874976038753129,0.06058436257692715,5
21,0.4749574937446453,0.025984625982161433,5
22,0.4809570553285721,0.023172132573401363,5
23,0.2615153955092036,0.039502969196387454,5
24,0.4743295330400592,0.023672693649131858,5
25,0.32706850309773755,0.011349530894195606,4
26,0.4318814877932524,0.018596178855300776,5
27,0.3235490119615506,0.03706047463853991,5
28,0.10906327405879086,0.04949830785654166,4
29,0.48053261332750485,0.024847439650409933,5
